#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -8.52  -10.28  -11.40  -11.88  -11.82  -11.07   -9.90  -11.14  -12.70  -14.12  -14.44  -12.60  -11.10  -10.13   -9.34   -8.91   -7.61   -6.79   -6.95   -5.97   -5.79   -6.22   -5.85   -5.81
    2.00   -4.61   -4.09   -3.97   -6.85   -9.00  -10.74   -9.01   -6.40   -5.48   -4.94   -4.99   -6.07   -7.54   -7.70   -5.87   -4.77   -5.47   -4.99   -4.83   -4.64   -5.92   -7.31   -8.14   -7.94
    3.00  -14.54  -14.46  -14.25  -13.58  -12.75  -13.23  -14.74  -16.09  -15.57  -13.09  -12.19  -10.46   -9.88  -10.65  -10.57   -9.61   -9.77   -9.86   -9.80   -8.61   -8.78   -9.26  -10.00  -11.35
   10.00  -38.04  -39.11  -38.34  -38.07  -37.25  -36.62  -37.54  -38.25  -37.73  -37.50  -37.19  -37.38  -36.78  -36.72  -36.47  -36.06  -35.61  -35.43  -35.84  -36.10  -36.94  -38.14  -38.59  -38.73
   20.00  -45.51  -45.45  -46.15  -46.00  -45.97  -46.54  -46.78  -46.96  -47.15  -46.74  -46.46  -46.41  -47.43  -47.55  -47.03  -46.21  -45.23  -44.78  -44.76  -44.96  -44.88  -45.25  -45.46  -45.58
   30.00  -50.14  -49.85  -49.91  -50.63  -51.13  -51.30  -50.74  -50.15  -50.28  -50.06  -50.16  -50.24  -50.86  -51.16  -50.95  -50.78  -50.83  -50.67  -50.54  -50.29  -50.14  -49.83  -49.30  -49.85
   50.00  -53.99  -53.22  -53.02  -53.41  -53.58  -53.94  -54.55  -54.56  -54.50  -54.45  -53.62  -53.08  -52.18  -52.43  -52.89  -52.85  -53.18  -53.92  -54.64  -54.68  -54.44  -54.05  -53.50  -53.08
   70.00  -54.72  -54.82  -54.62  -54.35  -53.76  -53.06  -53.12  -53.21  -53.01  -53.07  -53.00  -53.39  -53.46  -53.56  -53.75  -53.73  -53.63  -53.68  -53.76  -53.79  -53.68  -53.27  -53.17  -52.77
  100.00  -54.58  -54.35  -54.08  -53.72  -53.61  -53.39  -53.12  -53.31  -53.30  -53.44  -53.43  -53.42  -53.31  -53.41  -53.67  -53.99  -53.82  -53.53  -53.33  -53.45  -53.71  -54.02  -53.84  -53.82
  125.00  -52.38  -52.19  -52.08  -51.94  -51.98  -52.23  -52.10  -52.16  -52.03  -52.05  -52.39  -52.94  -53.37  -53.77  -53.90  -54.07  -54.18  -54.02  -53.62  -53.38  -53.13  -53.16  -52.59  -52.18
  150.00  -49.81  -49.78  -49.73  -49.70  -49.65  -49.75  -49.71  -49.80  -50.01  -50.16  -50.33  -50.48  -50.76  -51.06  -51.43  -51.53  -51.59  -51.50  -51.24  -51.04  -50.90  -50.75  -50.52  -50.26
  175.00  -46.31  -46.37  -46.34  -46.36  -46.37  -46.55  -46.82  -47.23  -47.76  -47.99  -47.76  -48.37  -49.19  -49.82  -50.22  -50.55  -50.75  -50.65  -50.58  -50.31  -50.33  -49.92  -49.20  -48.56
  200.00  -46.09  -45.60  -45.36  -45.13  -45.02  -45.28  -45.57  -45.94  -46.55  -47.56  -48.49  -50.37  -51.86  -52.42  -52.56  -52.66  -52.60  -52.50  -52.00  -51.12  -50.17  -49.75  -48.96  -48.77
  225.00  -47.23  -46.11  -45.53  -45.09  -44.64  -44.54  -44.74  -45.02  -46.34  -48.41  -51.06  -53.78  -55.46  -56.57  -57.31  -57.57  -57.35  -56.39  -55.51  -54.92  -54.12  -53.30  -53.18  -53.72
  250.00  -47.81  -46.32  -45.40  -44.85  -44.34  -43.91  -44.15  -44.55  -46.24  -48.48  -50.93  -52.38  -52.88  -52.96  -52.40  -51.83  -51.70  -51.85  -51.95  -52.44  -52.96  -53.06  -53.17  -52.81
