#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -11.72  -12.48  -15.60  -18.30  -19.55  -20.06  -21.03  -21.37  -20.54  -17.94  -15.90  -15.32  -15.57  -15.03  -14.06  -13.30  -13.31  -13.46  -13.68  -14.73  -13.74  -13.80  -14.03  -14.05
    2.00  -13.71  -13.90  -14.65  -15.56  -18.07  -19.51  -19.79  -19.63  -19.76  -18.74  -18.66  -18.36  -16.53  -15.32  -15.32  -15.70  -14.63  -14.15  -14.19  -13.86  -14.21  -14.66  -14.27  -15.82
    3.00  -20.20  -19.45  -18.86  -18.74  -19.71  -21.78  -23.80  -24.91  -25.34  -24.75  -23.29  -22.80  -23.32  -22.47  -21.75  -21.35  -20.88  -20.51  -21.14  -20.70  -18.23  -18.24  -18.16  -17.65
   10.00  -50.72  -50.30  -49.53  -48.00  -47.95  -48.70  -48.68  -48.22  -47.43  -46.88  -47.70  -48.09  -48.26  -48.83  -49.00  -48.36  -48.19  -48.72  -48.34  -48.30  -49.40  -49.50  -48.28  -48.89
   20.00  -56.64  -55.45  -55.75  -56.94  -57.91  -58.40  -58.34  -57.27  -57.03  -57.77  -57.95  -56.77  -55.95  -55.59  -56.34  -57.30  -57.84  -57.68  -57.06  -56.57  -56.97  -57.84  -58.36  -57.78
   30.00  -61.54  -61.41  -61.10  -60.69  -60.11  -59.59  -59.93  -60.81  -61.18  -60.71  -59.68  -59.06  -59.34  -59.81  -60.37  -60.90  -60.72  -60.03  -59.89  -60.01  -59.75  -59.59  -59.92  -60.24
   50.00  -63.31  -63.45  -63.13  -62.83  -62.88  -62.88  -62.78  -62.70  -62.50  -62.47  -62.57  -62.81  -63.12  -63.24  -62.83  -62.04  -61.50  -61.57  -61.92  -62.29  -62.55  -62.69  -63.16  -62.26
   70.00  -63.90  -64.08  -64.21  -64.05  -63.66  -63.23  -62.83  -62.93  -63.25  -63.49  -63.66  -63.45  -63.26  -63.31  -63.51  -63.61  -63.33  -62.45  -61.49  -60.87  -60.53  -60.41  -60.03  -60.55
  100.00  -62.34  -61.58  -61.22  -60.97  -60.53  -60.27  -60.38  -60.26  -60.05  -59.70  -59.37  -59.32  -59.36  -59.42  -59.16  -58.75  -58.74  -59.06  -59.46  -59.83  -59.91  -59.91  -59.71  -59.73
  125.00  -59.24  -59.40  -59.69  -59.64  -59.32  -59.10  -58.81  -58.24  -57.92  -57.78  -57.84  -57.92  -58.00  -58.35  -58.64  -58.57  -58.27  -57.94  -57.51  -57.37  -57.29  -57.17  -57.35  -57.49
  150.00  -56.02  -55.87  -55.81  -55.92  -56.29  -56.42  -56.02  -55.98  -55.86  -55.72  -55.62  -55.28  -54.92  -54.69  -54.68  -54.74  -54.44  -54.09  -53.56  -53.43  -53.21  -52.93  -52.36  -52.07
  175.00  -52.59  -52.42  -52.27  -52.53  -53.06  -52.96  -52.72  -53.01  -52.76  -52.54  -52.34  -51.98  -51.68  -51.46  -51.35  -51.35  -51.25  -51.08  -50.83  -50.71  -50.57  -50.69  -50.73  -50.63
  200.00  -52.56  -52.10  -51.50  -51.32  -51.69  -51.48  -51.42  -51.71  -51.71  -51.02  -50.08  -49.58  -49.26  -48.97  -48.61  -48.39  -48.72  -49.08  -49.56  -49.58  -49.99  -50.28  -49.43  -49.23
  225.00  -55.19  -54.97  -54.87  -54.69  -54.26  -53.35  -53.26  -53.26  -52.98  -52.00  -50.31  -49.29  -48.71  -48.44  -48.18  -48.30  -48.68  -49.30  -49.95  -49.95  -49.77  -49.57  -49.54  -49.50
  250.00  -56.31  -56.12  -56.22  -56.25  -55.84  -55.48  -55.38  -54.96  -54.42  -53.54  -52.68  -51.98  -50.97  -50.56  -50.51  -50.31  -50.31  -51.13  -51.34  -51.35  -50.93  -50.59  -50.98  -50.60
  300.00  -46.66  -46.65  -46.69  -46.68  -46.85  -47.12  -47.38  -47.50  -47.66  -48.05  -48.48  -48.24  -48.20  -48.16  -48.28  -47.96  -47.79  -47.82  -47.79  -47.61  -47.16  -46.78  -46.97  -47.07
  350.00  -38.22  -38.42  -38.61  -38.58  -38.43  -38.62  -39.03  -39.26  -39.54  -39.91  -40.24  -41.32  -41.75  -41.83  -41.91  -42.06  -42.27  -42.12  -42.07  -42.02  -41.90  -41.79  -41.82  -41.66
  400.00  -32.02  -32.16  -32.18  -32.11  -32.20  -32.85  -33.48  -33.59  -33.60  -33.96  -33.93  -33.99  -34.36  -34.58  -34.79  -35.50  -36.11  -36.11  -35.67  -35.54  -35.81  -36.18  -36.09  -36.36
